overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image,reviewText_length_words,summary_length_words,label
5,True,"08 18, 2015",A15ZDMON8G1OI5,B00DCGWYKI,Art Rodriguez,Fast delivery and effective. Exactly what I wanted. Thank you!!,Five Stars,1439856000,,,,10,2,POSITIVE
1,True,"08 19, 2016",A1RSNXJADULT5R,B01EJMLO8G,H C,"Operator manual confusing. Refers to wire feeding button and wire loading button, but no such buttons are shown on diagram. Pen heated up once and then quit working. Expensive b'day present that left angry child and frustrated parents. All the seller wanted was for me to write product review.",Poor product. Won't buy this again.,1471564800,15,,,49,6,NEGATIVE
1,True,"05 7, 2014",A1O8JACMOU1ZO1,B002PJEXEI,Matthew Hitzges,This stethoscope does not work properly.  I recommend that you don't buy it.  You will just be wasting your money.,Do Not Buy!,1399420800,,,,20,3,NEGATIVE
5,True,"01 10, 2014",A1A1L113H9YOFS,B0058QKFBU,George H.,"I believe this is more than enough gaffer tape I will probably ever use.

I just love the bright colors, just wish they had thrown in a roll of black also.",perfect rolls for travel!,1389312000,,,,31,4,POSITIVE
5,True,"09 16, 2013",A3UKWDXIOOEZH7,B0050CFIQY,Samantha,"if you ever seen a 3 oz. bath and body works lotion, then you know that this product is smaller then 1 oz. its 0.18 oz. but it came right on time and i like it.",There not as big as the picture,1379289600,,{'Size:': ' Single Pack'},,36,7,POSITIVE
5,True,"03 6, 2013",A3PO4RKUVG2NVV,B000RP7YI4,ERW,Stayed sharp when used properly. I cut 304 stainless sheet with it. Low cost and GREAT value for such a good tool.,Top quality,1362528000,,"{'Size:': ' 13/16""'}",,22,2,POSITIVE
1,True,"04 17, 2016",ARPNFZY30Y4US,B01BLQ19KQ,danny Fiacco,Have had these in our restaurant for two weeks and all of them have fallen apart.  Very poorly made!,One Star,1460851200,,,,19,2,NEGATIVE
5,True,"10 10, 2017",AHTEX7ZQG9CLZ,B000H4G256,Arthur Black,"Did exactly what its meant to do and saved me a ton of hasssle on a recent blow out. Couldnt be more pleased to have this handy, compact, tough as nails device on hand!",Thank you,1507593600,,,,34,2,POSITIVE
5,True,"01 11, 2015",A3SVC0PK7OATIR,B003O5B5LG,Mark P Walker,"Well see how long the anodised aluminum lasts on the males, but first impression is very good- well made and very nice fit and finish. Smooth operation and good seal. The females have steel where it counts.",Nice fittings!,1420934400,,{'Style:': ' 7 Piece'},,37,2,POSITIVE
5,True,"03 30, 2016",AINR5P41SB4JT,B00N8K6TWM,Amazon Customer,Works well with the fetal hrt rate monitor,Works well,1459296000,,{'Size:': ' 8-oz. Bottle'},,8,2,POSITIVE
5,True,"07 20, 2016",A1NOG335OLFSJV,B00EEHXMNC,eric,sample provide quantity to see color on concrete. we ordered product to complete project,Five Stars,1468972800,,,,14,2,POSITIVE
5,True,"02 1, 2017",A2O5XNGCX2DVHV,B00FKFGSHE,gnarhess,Great Product!,Five Stars,1485907200,,{'Color:': ' Original Version'},,2,2,POSITIVE
5,True,"03 26, 2016",A1S8MRQ5URFYJ4,B00IFD5OH8,E. Jankowski,"Good stuff.  Worked great for tying recycling, used in on some Christmas gifts, too.  Very strong, can't go wrong.","Very Strong, Can't Go Wrong",1458950400,,"{'Item Package Quantity:': ' 1', 'Package Quantity:': ' 1'}",,19,5,POSITIVE
5,True,"01 13, 2016",A2JO90MQXIS19K,B007Y8UX80,Anne Soash,Makes a nice presentation fory home made homeopathic remedies,Beautiful!!!,1452643200,,{'Number of Items:': ' 6'},,9,1,POSITIVE
5,True,"07 1, 2018",A1GQTS2V4XLOLT,B00QRU6YRA,K.Nic,Perfect for preping you're butt for anal,It works,1530403200,,,,7,2,POSITIVE
5,True,"05 27, 2014",A2LL3XB5BQACCI,B000JCGU8U,Rachel Leigh,"It took black smudges off my car that no other product would!
it was over a large area and I was told I'd need to have a body shop redo the area.",It's a miracle!,1401148800,,"{'Size:': ' 11 ounces', 'Unit Count:': ' 1'}",,32,3,POSITIVE
4,True,"08 29, 2017",A3M25K9YA7PUSZ,B000FEM392,Ted McFarland,A little heavy !,Four Stars,1503964800,,{'Color:': ' Black'},,4,2,POSITIVE
5,True,"12 21, 2017",A2NR0ATDP14ZF3,B00DRALJ28,Larry,Works like it should!,Like it,1513814400,,,,4,2,POSITIVE
4,True,"08 26, 2017",A2MMUF71M6QKMD,B019QH3HAC,AT,Great product.  Works well.,Four Stars,1503705600,,,,4,2,POSITIVE
5,True,"02 26, 2018",A2XF77M8Q6BEM7,B005DTL0C0,emg,I wanted a 3B Scientific torso model & this fits the bill. At 21 its large enough to have substantial sized organs but its not so big as to take up two much space. Its also well made.,Recommend,1519603200,,,,38,1,POSITIVE
5,True,"04 16, 2008",A2DI0LQJD3WZUN,B000EJUBBU,RSB,This is an excellent product at a fraction of the price of the expensive ones I use at work.  The readings from these calipers are within 2 thousandths of an inch to those from the expensive (and calibrated) Mitutoyos - more than good enough for my needs.,Excellent value for money,1208304000,13,{'Size:': ' 12 inch'},,47,4,POSITIVE
3,True,"10 27, 2015",A3E3OPCYIWM2D3,B00N7GN2C2,Amazon Customer,I ordered the 12 slot but received the 7 slot instead.,Three Stars,1445904000,,"{'Size:': ' 24.5"" Length, 16.5"" Width, 2"" Height', 'Style:': ' 7 Cavities'}",,11,2,NEUTRAL
5,True,"07 4, 2016",AARTSZZI621DA,B0006OLG9Y,SheDD,these are a perfect fit and a great price,Five Stars,1467590400,,,,9,2,POSITIVE
5,True,"02 4, 2016",A2WJCQZKK8SZI7,B007LQC3Q0,Tony,Only one i use anymore!,Five Stars,1454544000,,,,5,2,POSITIVE
